Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mesenchymal Cell Differentiation (GO:0048762),-0.6447553920450679,-2.569736358709634,0.0,0.0,0.0,19/54,9.73%,Hnrnpab;Ddx5;Notch4;Tbx20;Wnt5a;Ddx17;Tgfb2;Ranbp3l;Foxc1;Snai1;Foxf2;Hif1a;Hey2;Rock2;Nog;Heyl;Loxl2;Bmp7;Loxl3
prerank,Ephrin Receptor Signaling Pathway (GO:0048013),-0.6838842383644566,-2.5573095065097458,0.0,0.0,0.0,24/43,21.10%,Crk;Yes1;Rasa1;Efna4;Fyn;Ephb4;Epha8;Efna5;Efnb3;Ptpn11;Efnb2;Ptk2;Epha2;Ephb1;Efna1;Anks1b;Src;Efnb1;Cdk5r1;Pak3;Sipa1l1;Epha1;Efna2;Arhgef7
prerank,Epithelial To Mesenchymal Transition (GO:0001837),-0.6459004742308918,-2.507490930537327,0.0,0.0,0.0,16/47,9.73%,Hnrnpab;Ddx5;Notch4;Wnt5a;Ddx17;Tgfb2;Snai1;Foxf2;Hif1a;Hey2;Rock2;Nog;Heyl;Loxl2;Bmp7;Loxl3
prerank,Regulation Of Focal Adhesion Assembly (GO:0051893),-0.6377070583383764,-2.5072789503814787,0.0,0.0,0.0,30/54,22.90%,Actg1;Itgb1bp1;Fyn;Col16a1;Peak1;Coro1c;Phldb2;Dapk3;Acvrl1;Fermt2;Pten;Kdr;Efna5;Tek;Rock2;Gpm6b;Limch1;Dusp3;Rcc2;Ptk2;Vegfa;Rac1;Src;Clasp2;Dynll1;Arhgap6;Sfrp1;Dusp22;Ptpra;Nrg1
prerank,Maintenance Of Blood-Brain Barrier (GO:0035633),-0.6808126483192078,-2.408459830859284,0.0,0.0,0.0,14/29,14.69%,Actg1;Lama2;Ocln;Gja1;Jam3;Jam2;Lsr;Cldn1;Cldn5;Slc12a2;Cdh5;Tjp3;Cldn12;Tjp1
prerank,Lung Development (GO:0030324),-0.6670035814898171,-2.3878134895103473,0.0,0.0,0.0,19/33,22.07%,Phf14;Stra6;Dnaaf1;Fgf7;Polr2d;Shh;Foxf1;Loxl3;Pkd1;Gli2;Sox11;Fgf10;Bmp4;Vegfa;Bag6;Foxj1;Zic3;Fgfr2;Fgf9
prerank,Dendrite Morphogenesis (GO:0048813),-0.662826907336653,-2.368287343109527,0.0,0.0,0.0,26/33,30.90%,Cdc42;Ptn;Pten;Klf7;Tmem106b;Lrp4;Sdc2;Wasl;Ephb1;Mink1;Mef2a;Nol3;Map2;Phactr1;Pak3;Ctnnd2;Ctnna2;Chrna7;Dlg4;Mapk8ip2;Shank3;Btbd3;Wnt7a;Shank1;Dvl1;Ephb3
prerank,Endocardial Cushion Development (GO:0003197),-0.7095843247174262,-2.353832799254236,0.0,0.0,0.0,16/23,20.34%,Tbx20;Tbx2;Tgfb2;Acvrl1;Nog;Heyl;Foxf1;Apc;Bmp4;Hey1;Sox9;Bmpr1a;Bmpr2;Gata4;Adamts5;Creld1
prerank,Mesoderm Formation (GO:0001707),-0.762537920228788,-2.3353939782796895,0.0,0.0,0.0,6/19,7.31%,Itgb4;Crb2;Mesp2;Tbx20;Snai1;Itga8
prerank,Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062),-0.6374699699016378,-2.3077701096532492,0.0,0.00031654747797840515,0.001,33/39,32.15%,Pdzk1;Kcne2;Gnb2;Hrc;Snta1;Dlg1;Kcnip4;Hcn4;Fgf12;Slmap;Scn5a;Kcnab1;Kcnip1;Hcn2;Kcnip2;Dpp10;Grin2d;Kcnip3;Rangrf;Homer1;Hcn1;Kcnab3;Grin1;Cacna1d;Kcnn2;Dpp6;Hcn3;Kcne1;Grin2b;Wnk3;Kcne5;Grin2c;Nedd4l
